Id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
2051,A2B  Adyar Ananda Bhavan,Yes,No,2.7,425,Bannerghatta Road,Casual Dining,"Filter Coffee, Chilli Babycorn, Pav Bhaji, Pongal, Paneer Tikka, Onion Rava Dosa, Chaat","South Indian, North Indian, Chinese, Street Food",400,Dine-out
2055,Beijing Bites,No,No,2.7,160,Bannerghatta Road,Casual Dining,Chop Suey,"Chinese, Thai",850,Dine-out
2062,Kabab Magic,No,No,3.7,311,Bannerghatta Road,Casual Dining,"Biryani, Chicken Grill, Shawarma Roll, Tandoori Chicken, Rumali Roti, Pulpy Grape Juice, Brosted Chicken","North Indian, Kebab, Chinese, Fast Food",400,Dine-out
2068,Thalassery Food Court,No,No,3.1,4,Bannerghatta Road,Casual Dining,NA,"Kerala, North Indian, Chinese",500,Dine-out
2072,Guru Paradise,No,Yes,2.9,200,Bannerghatta Road,Casual Dining,"Manchow Soup, Wine, Biryani, Cocktails, Noodles, Stuffed Mushroom, Fish","Chinese, South Indian, North Indian",1000,Dine-out
2077,Diletto,No,No,3.5,16,Bannerghatta Road,Casual Dining,NA,"North Indian, Chinese",800,Dine-out
2078,Terrace Lounge,No,No,3.6,25,Bannerghatta Road,Lounge,NA,"North Indian, Chinese, Seafood",1600,Dine-out
2079,Utsav Restaurant,No,No,3.6,23,Bannerghatta Road,Casual Dining,NA,"North Indian, Chinese, Italian, South Indian",1000,Dine-out
2087,Fresh Lemon Soda,No,No,3.1,5,Bannerghatta Road,Beverage Shop,NA,"Beverages, Street Food",150,Dine-out
2112,Sai Abhiruchi,No,No,0,0,Bannerghatta Road,Casual Dining,NA,"Andhra, North Indian, Biryani",800,Dine-out
2137,Purani Dilli By Anand Sweets,No,No,4.1,315,Bannerghatta Road,Quick Bites,"Chaat, Thali, Jalebi, Rajma, Paneer Tikka, Paratha, Kulfi","North Indian, Continental, Street Food",500,Dine-out
2147,KFC,Yes,No,3.8,369,Bannerghatta Road,Quick Bites,"Rice Bowl, Paneer Zinger Burger, Burgers, Crispy Chicken, Chicken Boneless Strips","Burger, Fast Food",400,Dine-out
2148,Ingu Tengu,No,No,3.9,197,Bannerghatta Road,Quick Bites,"Vada, Masala Dosa, Coffee, Akki Rottis, Idli Chutney, Curd Rice, Ghee Roast Dosa",South Indian,150,Dine-out
2151,Green Onion,No,No,3.3,50,Bannerghatta Road,Food Court,"Noodles, Momos, Chicken Noodle",Chinese,400,Dine-out
2154,Chaitanya Grand,No,No,3.6,11,Bannerghatta Road,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Dine-out
2175,More Pizza,Yes,No,3.5,19,Bannerghatta Road,Food Court,NA,Italian,500,Dine-out
2178,Spar Refresh,No,No,3.4,5,Bannerghatta Road,Food Court,NA,"North Indian, South Indian, Pizza",300,Dine-out
2182,Marhaba,No,No,3.5,25,Bannerghatta Road,Food Court,NA,"Arabian, Mediterranean, North Indian",500,Dine-out
2187,Manjushree Veg,No,No,3.5,10,Bannerghatta Road,Quick Bites,NA,"South Indian, Chinese",150,Dine-out
2193,Sai Shiv Sagar,No,No,2.8,14,Bannerghatta Road,Food Court,NA,"South Indian, North Indian",300,Dine-out
2194,Tiwaris,Yes,No,3.9,75,Bannerghatta Road,Quick Bites,"Chaat, Panipuri, Lassi, Aloo Paratha, Chai, Gulab Jamun","North Indian, Street Food",200,NA
2200,Pizza Hut,Yes,No,2.4,204,Bannerghatta Road,Quick Bites,"Pizza, Garlic Bread, Veg Supreme",Pizza,750,Dine-out
